Food Name,Protein (g),Fat (g),Fiber (g),Carbs (g),Calories (kcal)
"( Cucumis sativus) Cucumber, green, elongate",0.71,0.16,2.14,3.48,82.0
(Brassica rapa var. chinensis) Pak Choi leaves,1.41,0.25,1.91,1.78,67.0
(Chenopodium quinoa) Quinoa,13.11,5.5,14.66,53.65,328.39
(Oryza sativa ) Rice flakes,7.44,1.14,3.46,76.75,353.73
(Solanum melongena) Brinjal-13,1.49,0.31,3.92,4.51,124.0
(Solanum melongena) Brinjal-14,1.56,0.35,3.87,3.27,106.0
(Solanum melongena) Brinjal-16,1.26,0.34,3.74,3.46,103.0
(Solanum melongena) Brinjal-17,1.18,0.36,3.94,2.89,91.0
(Solanum melongena) Brinjal-19,1.26,0.31,3.97,3.39,100.0
(Solanum melongena) Brinjal-20,1.44,0.34,3.73,3.15,99.0
(Solanum melongena) Brinjal-21,1.36,0.35,3.85,3.93,113.0
(Zizyphus jujube) Zizyphus,1.34,0.35,3.73,9.4,204.0
") Jambu fruit, ripe ( Syzygium samarangense",0.82,0.17,3.07,12.3,235.0
) Litchi ( Litchi chinensis,0.99,0.26,1.34,11.41,225.0
) Peach ( Prunus communis,0.86,0.37,2.13,7.82,168.0
) Pine seed ( Pinus sp.,12.55,48.79,3.79,26.77,594.17
Tomato Sauce,1.4,0.3,1.5,6.7,29
") Tomato, green ( Solanum lycopersicum",1.12,0.27,1.62,3.18,87.0
") Tomato, ripe, hybrid (( Solanum lycopersicum",0.76,0.25,1.58,3.2,79.0
") Yam, ordinary ( Amorphophallus sp.",2.18,0.17,4.08,17.65,349.0
") Yam, wild ( Dioscorea villosa",3.07,0.3,4.57,20.95,430.0
019 Asafoetida (Ferula assa-foetida),6.34,1.26,5.13,71.95,331.5
"9 D042 (Zea mays) Corn, baby",2.69,1.33,6.09,11.66,306.0
"Amaranth seed, black (Amaranthus cruentus)",14.59,5.74,7.02,59.98,356.12
Bajra (Pennisetum typhoideum),10.96,5.43,11.49,61.78,347.99
Barley (Hordeum vulgare),10.94,1.3,15.64,61.29,315.73
Bathua leaves (Chenopodium album),2.5,0.44,4.01,2.56,116.0
Beet greens (Beta vulgaris),2.38,0.75,3.64,3.86,145.0
"Betel leaves, big (Kolkata) (Piper betle)",2.51,0.75,2.12,7.37,202.0
"Betel leaves, small (Piper betle)",2.62,0.75,1.97,6.16,183.0
Brinjal - all varieties (Solanum melongena),1.48,0.32,3.98,3.52,106.0
Brinjal-10 (Solanum melongena),1.68,0.25,3.9,4.08,116.0
Brinjal-11 (Solanum melongena),1.43,0.31,4.12,3.53,105.0
Brinjal-12 (Solanum melongena),1.6,0.27,3.89,2.73,93.0
Brinjal-15 (Solanum melongena),1.58,0.29,3.99,3.96,114.0
Brinjal-18 (Solanum melongena),1.47,0.33,4.38,4.1,116.0
Brinjal-4 (Solanum melongena),1.51,0.31,4.04,3.19,100.0
Brinjal-5 (Solanum melongena),1.38,0.29,4.13,4.02,111.0
Brinjal-6 (Solanum melongena),1.46,0.29,3.68,3.29,97.0
Brinjal-7 (Solanum melongena),1.4,0.37,3.32,3.1,98.0
Brinjal-8 (Solanum melongena),1.82,0.33,4.01,3.75,117.0
Brinjal-9 (Solanum melongena),1.47,0.35,4.0,3.52,106.0
Broad beans (Vicia faba),3.85,0.15,8.63,2.11,123.0
"Cabbage, Chinese (Brassica rupa)",1.58,0.13,2.01,2.36,75.0
"Capsicum, green (Capsicum annuum)",1.11,0.34,2.06,1.84,68.0
"Capsicum, red (Capsicum annuum)",1.47,0.47,2.19,2.14,83.0
"Capsicum, yellow (Capsicum annuum)",1.35,0.41,2.19,1.95,78.0
"Cardamom, black (Elettaria cardamomum)",6.69,2.8,23.46,52.53,270.55
"Cardamom, green (Elettaria cardamomum)",8.1,2.6,23.1,47.76,255.02
Cauliflower (Brassica oleracea var. botrytis),2.15,0.44,3.71,2.03,96.0
Celery stalk (Apium graveolens),0.98,0.24,2.09,2.33,69.0
"Chillies, red (Capsicum annum)",12.69,6.4,31.15,29.46,236.62
Cho-cho-marrow (Sechium edule),0.66,0.15,1.55,3.47,79.0
Cloves (Syzygium aromaticum),5.86,8.41,34.52,18.73,186.66
Cluster beans (Cyamopsis tetragonoloba),3.55,0.37,4.83,4.91,168.0
"Colocasia leaves, green (Colocasia esculenta)",3.42,1.38,5.6,3.69,182.0
"Colocasia, stem, black ( Colocasia esculenta )",0.76,0.34,3.01,3.83,100.0
"Colocasia, stem, green ( Colocasia esculenta )",0.91,0.22,2.33,2.86,81.0
Coriander seeds (Coriandrum sativum),10.66,17.47,44.81,12.98,268.88
"Cucumber, green, short (Cucumis sativus)",0.83,0.18,2.13,2.82,73.0
"Cucumber, orange, round (Cucumis sativus)",0.98,0.24,2.46,3.01,82.0
Cumin seeds (Cuminum cyminum),13.91,16.64,30.35,22.62,304.49
Curry leaves (Murraya koenigii),7.41,1.06,16.83,4.51,266.0
Cheese,28,17,0,2,280
"Dates, dry, dark brown (Phoenix dactylifera)",2.38,0.35,9.1,72.67,310.95
"Dates, dry, pale brown (Phoenix dactylifera)",2.45,0.35,8.95,74.91,320.27
"Dates, processed (Phoenix dactylifera)",1.18,0.41,6.52,67.95,286.09
"Pizza Dough",8.0,3.0,2.0,49,266
Drumstick (Moringa oleifera),2.62,0.12,6.83,3.76,123.0
Drumstick leaves (Moringa oleifera),6.41,1.64,8.21,5.62,282.0
Fenugreek leaves (Trigonella foenum graecum),3.68,0.83,4.9,2.17,144.0
Fenugreek seeds (Trigonella foenum graecum),25.41,5.72,47.55,10.57,234.94
"Field beans, tender, broad (Vicia faba)",3.06,0.64,5.64,2.75,129.0
"Field beans, tender, lean (Vicia faba)",3.71,0.6,6.19,2.85,140.0
Fig (Ficus carica),2.03,0.37,4.64,16.28,341.0
"French beans, country (Phaseolus vulgaris)",2.49,0.26,4.38,2.68,102.0
"French beans, hybrid (Phaseolus vulgaris)",2.12,0.19,4.18,2.63,93.0
Garden cress (Lepidium sativum),5.62,0.8,2.6,4.48,208.0
"Garlic, big clove (Allium sativum)",6.92,0.16,5.22,21.93,123.8
"Garlic, single clove, Kashmir (Allium sativum)",6.12,0.16,4.01,23.46,125.0
"Garlic, small clove (Allium sativum)",6.75,0.14,5.47,21.84,122.85
"Ginger, fresh (Zingiber officinale)",2.22,0.85,5.36,8.97,230.0
"Ginger-Garlic Paste",3.6,1.0,1.8,17,80
"Gogu leaves, green (Hibiscus cannabinus)",1.86,1.09,4.59,4.06,152.0
"Gogu leaves, red (Hibiscus cannabinus)",1.85,1.07,3.89,4.24,153.0
Gooseberry (Emblica officinalis),0.34,0.16,7.75,4.39,99.0
"Grapes, seeded, round, black (Vitis vinifera)",0.76,0.32,1.35,13.23,254.0
"Grapes, seeded, round, green (Vitis vinifera)",0.77,0.29,1.25,12.19,235.0
"Grapes, seeded, round, red (Vitis vinifera)",0.95,0.29,1.28,12.55,244.0
"Grapes, seedless, oval, black (Vitis vinifera)",1.41,0.46,1.64,20.48,395.0
"Grapes, seedless, round, black (Vitis vinifera)",1.24,0.35,1.15,19.86,374.0
"Grapes, seedless, round, green (Vitis vinifera)",0.62,0.26,1.28,11.81,224.0
"Guava, pink flesh (Psidium guajava)",1.19,0.25,7.39,9.14,195.0
"Guava, white flesh (Psidium guajava)",1.44,0.32,8.59,5.13,135.0
"Jack fruit, ripe (Artocarpus heterophyllus)",2.74,0.15,3.62,14.01,302.0
Jowar (Sorghum vulgare),9.97,1.73,10.22,67.68,334.13
Karonda fruit (Carissa carandas),1.15,1.67,7.25,2.87,141.0
Knol - Khol (Brassica oleracea),1.58,0.35,2.75,1.39,67.0
"Kovai, big (Coccinia cordifolia)",1.39,0.24,3.0,2.01,73.0
"Kovai, small (Coccinia cordifolia)",1.22,0.24,3.25,2.41,80.0
Ladies finger (Abelmoschus esculentus),2.08,0.22,4.08,3.62,115.0
"Lemon, juice (Citrus limon)",0.41,0.75,,6.97,153.0
"Lentil whole, brown (Lens culinaris)",22.49,0.64,16.82,48.47,299.0
"Lentil whole, yellowish (Lens culinaris)",22.87,0.61,16.66,47.91,297.8
Lettuce (Lactuca sativa),1.54,0.27,1.79,3.01,91.0
"Lime, sweet,pulp (Citrus limetta)",0.76,0.2,2.07,5.18,114.0
Mace (Myristica fragrans),6.24,24.41,20.31,26.51,355.64
"Maize, dry (Zea mays)",8.8,3.77,12.24,64.77,334.13
"Maize, tender, local (Zea mays)",3.57,1.4,3.67,22.69,119.98
"Maize, tender, sweet (Zea mays)",4.16,1.35,3.3,16.42,405.0
Mango ginger (Curcuma amada),1.45,0.7,4.74,6.98,177.0
"Mango, green, raw (Mangifera indica)",0.69,0.08,3.01,10.59,205.0
"Mango, ripe, banganapalli (Mangifera indica)",0.54,0.55,1.88,8.18,175.0
"Mango, ripe, gulabkhas (Mangifera indica)",0.52,0.53,1.67,10.32,209.0
"Mango, ripe, himsagar (Mangifera indica)",0.46,0.54,1.55,9.03,187.0
"Mango, ripe, kesar (Mangifera indica)",0.54,0.57,2.02,11.36,231.0
"Mango, ripe, neelam (Mangifera indica)",0.68,0.55,1.77,8.21,178.0
"Mango, ripe, paheri (Mangifera indica)",0.68,0.58,1.97,8.67,188.0
"Mango, ripe, totapari (Mangifera indica)",0.41,0.49,1.73,12.75,248.0
Mangosteen (Garcinia mangostana),0.63,0.24,1.87,11.41,219.0
Manila tamarind (Pithecellobium dulce),3.56,1.14,4.4,13.54,342.0
"Milk, whole, Cow",3.26,4.48,,4.94,305.0
Mint leaves (Mentha spicata ),4.66,0.65,5.89,2.39,155.0
Moth bean (Vigna aconitifolia),19.75,1.76,15.12,52.09,308.56
"Musk melon, orange flesh (Cucumis melon)",0.42,0.35,1.51,4.24,97.0
"Musk melon, yellow flesh (Cucumis melon)",0.53,0.26,1.49,5.4,116.0
Mustard leaves (Brassica juncea),3.52,0.51,3.92,2.41,127.0
"Mozzarella Cheese",28,17,0,2,280
"Niger seeds, gray (Guizotia abyssinica)",18.34,39.53,10.96,20.59,508.6
Nutmeg (Myristica fragrans),6.3,36.52,11.99,27.64,463.67
Omum (Trachyspermum ammi),15.89,21.11,20.58,24.53,357.31
"Caramelized Onions",1.5,0.24,2.45,9.56,201.0
"Onion, big (Allium cepa)",1.5,0.24,2.45,9.56,201.0
"Onion, small (Allium cepa)",1.82,0.16,1.16,11.58,237.0
"Onion, stalk (Allium cepa)",2.07,0.26,5.21,2.99,107.0
"Orange, pulp (Citrus aurantium)",0.7,0.13,1.29,7.92,156.0
"Palm fruit, tender (Borassus flabellifer)",0.5,0.12,2.4,4.92,101.0
Paneer,18.86,1.98,,,305.45
"Papaya, raw (Carica papaya)",0.5,0.23,2.28,4.4,100.0
"Papaya, ripe (Carica papaya)",0.42,0.16,2.83,4.61,100.0
Parsley (Petroselinum crispum),5.55,1.14,3.87,9.43,305.0
Parwar (Trichosanthes dioica),1.4,0.3,2.61,3.54,101.0
Pear (Pyrus sp.),0.36,0.27,4.48,8.09,157.0
"Peas, dry (Pisum sativum)",20.43,1.89,17.01,48.93,303.3
"Peas, fresh (Pisum sativum)",7.25,0.13,6.32,11.88,340.0
"Pepper, black (Piper nigrum)",10.12,2.74,33.16,36.22,217.5
Phalsa (Grewia asiatica),1.66,0.14,4.54,15.09,299.0
Pineapple (Aas comosus),0.52,0.16,3.46,9.42,180.0
Pippali (Piper longum),10.53,2.27,34.14,35.7,216.54
Pistachio nuts (Pistacia vera),23.35,42.49,10.64,15.82,539.44
"Plantain, flower (Musa x paradisiaca)",1.47,0.63,5.25,2.15,89.0
"Plantain, green (Musa x paradisiaca)",1.18,0.23,3.6,17.58,334.0
"Plantain, stem (Musa x paradisiaca)",0.35,0.16,2.12,8.64,165.0
Plum (Prunus domestica),0.64,0.4,2.07,12.1,238.0
"Pomegranate, maroon seeds (Punica granatum)",1.33,0.15,2.83,11.58,229.0
Ponnaganni (Alterthera sessilis),5.29,0.71,6.74,5.17,213.0
Poppy seeds (Papaver somniferum),20.31,30.38,26.68,12.37,422.56
Pummelo (Citrus maxima),0.68,0.42,0.8,10.64,210.0
"Pumpkin leaves, tender (Cucurbita maxima)",4.21,0.74,2.25,4.75,185.0
"Pumpkin, green, cylindrical (Cucurbita maxima)",0.87,0.18,2.53,4.22,103.0
"Pumpkin, orange, round (Cucurbita maxima)",0.84,0.16,2.56,4.0,97.0
Radish leaves (Raphanus sativus),2.22,0.51,1.82,2.77,109.0
"Radish, elongate, white skin (Raphanus sativus)",0.77,0.15,2.65,6.56,135.0
"Radish, round, red skin (Raphanus sativus)",0.89,0.16,2.29,6.07,130.0
"Radish, round, white skin (Raphanus sativus)",0.8,0.14,2.37,6.13,129.0
Ragi (Eleusine coracana),7.16,1.92,11.18,66.82,320.75
"Raisins, dried, black (Vitis vinifera)",2.57,0.34,3.92,71.29,305.69
"Raisins, dried, golden (Vitis vinifera)",2.76,0.35,4.56,68.79,296.61
"Rajmah, black (Phaseolus vulgaris)",19.01,1.62,17.74,49.59,298.04
"Rajmah, brown (Phaseolus vulgaris)",19.5,1.68,16.95,48.83,297.56
"Rajmah, red (Phaseolus vulgaris)",19.91,1.77,16.57,48.61,299.24
Rambutan (Nephelium lappaceum),0.68,0.16,1.02,16.84,306.0
"Red gram, dal (Cajanus cajan)",21.7,1.56,9.06,55.23,330.78
"Red gram, tender, fresh (Cajanus cajan)",8.09,0.92,5.9,19.46,124.28
"Red gram, whole (Cajanus cajan)",20.47,1.38,22.84,42.48,273.9
Rice puffed (Oryza sativa ),7.47,1.62,2.56,77.68,361.85
"Rice, parboiled, milled (Oryza sativa )",7.81,0.55,3.74,77.16,351.58
"Rice, raw, brown (Oryza sativa )",9.16,1.24,4.43,74.8,353.73
Ricebean (Vigna umbellata ),19.97,0.74,13.37,51.26,302.34
Ridge gourd (Luffa acutangula),0.91,0.14,1.81,1.72,55.0
"Ridge gourd, smooth skin (Luffa acutangula)",0.98,0.13,1.85,2.24,64.0
Rumex leaves (Rumex patientia),1.62,0.33,1.27,2.33,82.0
Safflower seeds (Carthamus tinctorius),17.66,30.87,13.49,30.18,473.47
Samai (Panicum miliare),10.13,3.89,7.72,65.55,346.32
